diagnosis_DSM5,description
D5_17.07.10.01.02,Uitgebreide neurocognitieve stoornis door multipele oorzaken: zonder gedragsstoornissen
D5_17.07.10.02,Beperkte neurocognitieve stoornis door multipele oorzaken
D5_17.07.10.02.01,Beperkte neurocognitieve stoornis door multipele oorzaken: met gedragsstoornissen
D5_17.07.10.02.02,Beperkte neurocognitieve stoornis door multipele oorzaken: zonder gedragsstoornissen
D5_17.07.11,Ongespecificeerde neurocognitieve stoornis
D5_18,Persoonlijkheidsstoornissen
D5_18.01,Cluster A-persoonlijkheidsstoornissen
D5_18.01.01,Parano�de-persoonlijkheidsstoornis
D5_18.01.02,Schizo�de-persoonlijkheidsstoornis
D5_18.01.03,Schizotypische-(persoonlijkheids)stoornis
D5_18.02,Cluster B-persoonlijkheidsstoornissen
D5_18.02.01,Antisociale persoonlijkheidsstoornis
D5_18.02.02,Borderline persoonlijkheidsstoornis
D5_18.02.03,Histrionische persoonlijkheidsstoornis
D5_18.02.04,Narcistische persoonlijkheidsstoornis
D5_18.03,Cluster C-persoonlijkheidsstoornissen
D5_18.03.01,Vermijdende persoonlijkheidsstoornis
D5_18.03.02,Afhankelijke persoonlijkheidsstoornis
D5_18.03.03,Dwangmatige persoonlijkheidsstoornis
D5_18.04,Andere persoonlijkheidsstoornissen
D5_18.04.01,Persoonlijkheidsverandering door een somatische aandoening
D5_18.04.01.01,Persoonlijkheidsverandering door een somatische aandoening
D5_18.04.01.02,Persoonlijkheidsverandering door een somatische aandoening: labiele type
D5_18.04.01.03,Persoonlijkheidsverandering door een somatische aandoening: ontremde type
D5_18.04.01.04,Persoonlijkheidsverandering door een somatische aandoening: agressieve type
D5_18.04.01.05,Persoonlijkheidsverandering door een somatische aandoening: apatische type
D5_18.04.01.06,Persoonlijkheidsverandering door een somatische aandoening: parano�de type
D5_18.04.01.07,Persoonlijkheidsverandering door een somatische aandoening: andere type
D5_18.04.01.08,Persoonlijkheidsverandering door een somatische aandoening: gecombineerde type
D5_18.04.01.09,Persoonlijkheidsverandering door een somatische aandoening: ongespecificeerde type
D5_18.04.01.10,Andere persoonlijkheidsstoornissen
D5_18.04.01.10.01,Andere gespecificeerde persoonlijkheidsstoornis
D5_18.04.01.10.02,Ongespecificeerde persoonlijkheidsstoornis
D5_19,Parafiele stoornissen
D5_19.01,Voyeurismestoornis
D5_19.02,Exhibitionismestoornis
D5_19.03,Frotteurismestoornis
D5_19.04,Seksueel-masochismestoornis
D5_19.05,Seksueel-sadismestoornis
D5_19.06,Pedofiele stoornis
D5_19.06.01,Pedofiele stoornis: exclusieve type
D5_19.06.01.01,Pedofiele stoornis: exclusieve type - Seksueel aangetrokken tot jongens
D5_19.06.01.01.01,Pedofiele stoornis: exclusieve type - seksueel aangetrokken tot jongens - beperkt tot incest
D5_19.06.01.02,Pedofiele stoornis: exclusieve type - Seksueel aangetrokken tot meisjes
D5_19.06.01.02.01,Pedofiele stoornis: exclusieve type - Seksueel aangetrokken tot meisjes - Beperkt tot incest
D5_19.06.01.03,Pedofiele stoornis: exclusieve type - Seksueel aangetrokken tot beide seksen
D5_19.06.01.03.01,Pedofiele stoornis: exclusieve type - Seksueel aangetrokken tot beide seksen - Beperkt tot incest
D5_19.06.02,Pedofiele stoornis: niet-exclusieve type
D5_19.06.02.01,Pedofiele stoornis: niet-exclusieve type - Seksueel aangetrokken tot jongens
D5_19.06.02.01.01,Pedofiele stoornis: niet-exclusieve type - Seksueel aangetrokken tot jongens -Beperkt tot incest
D5_19.06.02.02,Pedofiele stoornis: niet-exclusieve type - Seksueel aangetrokken tot meisjes
D5_19.06.02.02.01,Pedofiele stoornis: niet-exclusieve type - Seksueel aangetrokken tot meisjes - Beperkt tot incest
D5_19.06.02.03,Pedofiele stoornis: niet-exclusieve type - Seksueel aangetrokken tot beide seksen
D5_19.06.02.03.01,Pedofiele stoornis: niet-exclusieve type - Seksueel aangetrokken tot beide seksen - Beperkt tot incest
D5_19.07,Fetisjismestoornis
D5_19.07.01,Transvestiestoornis
D5_19.08,Andere parafiele stoornissen
D5_19.08.01,Andere gespecificeerde parafiele stoornis
D5_19.08.02,Ongespecificeerde parafiele stoornis
D5_2,Schizofreniespectrum- en andere psychotische stoornissen
D5_2.01,Schizotypische-(persoonlijkheids)stoornis
D5_2.02,Waanstoornis
D5_2.02.01,Waanstoornis: eromane type
D5_2.02.02,Waanstoornis: grootheidstype
D5_2.02.03,Waanstoornis: jaloerse type
D5_2.02.04,Waanstoornis: achtervolgingstype
D5_2.02.05,Waanstoornis: somatische type
D5_2.02.06,Waanstoornis: gemengde type
D5_2.02.07,Waanstoornis: ongespecificeerde type
D5_2.03,Kortdurende psychotische stoornis
D5_2.03.01,Kortdurende psychotische stoornis: met duidelijke stressor(en)
D5_2.03.02,Kortdurende psychotische stoornis: zonder duidelijke stressor(en)
D5_2.03.03,Kortdurende psychotische stoornis: met begin peri partum
D5_2.04,Schizofreniforme stoornis
D5_2.04.01,Schizofreniforme stoornis: met goede prognostische kenmerken
D5_2.04.02,Schizofreniforme stoornis: zonder goede prognostische kenmerken
D5_2.05,Schizoaffectieve stoornis
D5_2.05.01,Schizoaffectieve stoornis: bipolaire type
D5_2.05.02,Schizoaffectieve stoornis: depressieve type
D5_2.06,Psychotische stoornis door een middel
D5_2.06.01,Psychotische stoornis door alcohol
D5_2.06.02,Psychotische stoornis door cannabis
D5_2.06.03,Psychotische stoornis door fencyclidine
D5_2.06.04,Psychotische stoornis door andere hallucinogenen
D5_2.06.05,Psychotische stoornis door inhalantia
D5_2.06.06,Psychotische stoornis door hypnotica of anxiolytica
D5_2.06.07,Psychotische stoornis door amfetamine (of andere stimulantia)
D5_2.06.08,Psychotische stoornis door coca�ne
D5_2.06.09,Psychotische stoornis door een ander (of onbekend) middel
D5_2.07,Psychotische stoornis door een somatische aandoening
D5_2.07.01,Psychotische stoornis door een somatische aandoening: met wanen
D5_2.07.02,Psychotische stoornis door een somatische aandoening: met hallucinaties
D5_2.08,Katatonie
D5_2.08.01,Katatonie bij een andere psychische stoornis (katatonie als specificatie)
D5_2.08.02,Katatone stoornis door een somatische aandoening
D5_2.08.03,Ongespecificeerde katatonie
D5_2.09,Andere schizofreniespectrum- of andere psychotische stoornissen
D5_2.09.01,Andere gespecificeerde schizofreniespectrum- of andere psychotische stoornis
D5_2.09.02,Ongespecificeerde schizofreniespectrum- of andere psychotische stoornis
D5_2.10,Schizofrenie
D5_20,Overige psychische stoornissen
D5_20.01,Andere psychische stoornissen door een somatische aandoening
D5_20.01.01,Andere gespecificeerde psychische stoornis door een somatische aandoening
D5_20.01.02,Ongespecificeerde psychische stoornis door een somatische aandoening
D5_20.02,Andere psychische stoornissen
D5_20.02.01,Andere gespecificeerde psychische stoornis
D5_20.02.02,Ongespecificeerde psychische stoornis
D5_21,Bewegingsstoornissen en andere bijwerkingen van medicatie
D5_21.01,Parkinsonisme door neuroleptica of andere medicatie
D5_21.02,Maligne neurolepticasyndroom
D5_21.03,Acute dystonie door medicatie
D5_21.04,Acute acathisie door medicatie
D5_21.05,Tardieve dyskinesie
D5_21.06,Tardieve dystonie
D5_21.07,Tardieve acathisie
D5_21.08,Houdingstremor door medicatie
D5_21.09,Andere bewegingsstoornis door medicatie
D5_21.10,Antidepressiva-discontinueringssyndroom
D5_21.11,Andere bijwerkingen van medicatie
D5_22,Andere problemen die een reden van zorg kunnen zijn
D5_22.01,Relatieproblemen
D5_22.01.01,Opvoedingsproblemen
D5_22.01.01.01,Ouder-kindrelatieprobleem
D5_22.01.01.02,Relatieproblemen tussen brussen (siblings)
D5_22.01.01.03,Opvoedingsproblemen
D5_22.01.01.03.01,Opvoeding in afwezigheid van ouders
D5_22.01.01.03.02,Negatieve invloed van ouderlijke relatieproblemen op een kind
D5_22.01.02,Andere problemen verband houdend met de naaste kring van verwanten
D5_22.01.02.01,Partner-relatieprobleem
D5_22.01.02.02,Uiteenvallen van gezin door scheiding of echtscheiding
D5_22.01.02.03,Hoog niveau van gevoelsuitingen binnen een gezin
D5_22.01.02.04,Ongecompliceerde rouw
D5_22.02,Misbruik en verwaarlozing
D5_22.02.01,Problemen door mishandeling en verwaarlozing van een kind
D5_22.02.01.01,Lichamelijke mishandeling van een kind
D5_22.02.01.02,"Consult voor slachtoffer van mishandeling, kind"
D5_22.02.01.03,Persoonlijke anamnese met lichamelijke mishandeling als kind ( in het verleden)
D5_22.02.01.04,Consult voor pleger van mishandeling van eigen kind
D5_22.02.01.05,Consult voor pleger van mishandeling van een kind waarvan de betrokkene niet de ouder is
D5_22.02.01.06,Seksueel misbruik van een kind
D5_22.02.01.07,"Consult voor slachtoffer van seksueel misbruik, kind"
D5_22.02.01.08,Persoonlijke anamnese met seksueel misbruik als kind ( in het verleden)
D5_22.02.01.09,Consult voor pleger van seksueel misbruik van eigen kind
D5_22.02.01.10,Consult voor pleger van seksueel misbruik van een kind waarvan de betrokkene niet de ouder is
D5_22.02.01.11,Verwaarlozing van een kind
D5_22.02.01.12,"Consult voor slachtoffer van verwaarlozing, kind"
D5_22.02.01.13,Persoonlijke anamnese met verwaarlozing als kind ( in het verleden)
D5_22.02.01.14,Consult voor pleger van verwaarlozing van eigen kind
D5_22.02.01.15,Consult voor pleger van verwaarlozing ven een kind waarvan de betrokkene niet de ouder is
D5_22.02.01.16,Psychische mishandeling van een kind
D5_22.02.01.17,"Consult voor slachtoffer van psychische mishandeling, kind"
D5_22.02.01.18,Persoonlijke anamnese met psychische mishandeling als kind (in het verleden)
D5_22.02.01.19,Consult voor pleger van psychische mishandeling van eigen kind
D5_22.02.01.20,Consult voor pleger van psychische mishandeling van een kind waarvan de betrokkene niet de ouder is.
D5_22.02.02,Problemen door mishandeling en verwaarlozing van een volwassene
D5_22.02.02.01,Lichamelijk geweld door een levenspartner
D5_22.02.02.02,Consult voor slachtoffer van lichamelijk geweld door een levenspartner
D5_22.02.02.03,Persoonlijke anamnese met lichamelijk geweld door een levenspartner (in het verleden)
D5_22.02.02.04,Consult voor pleger van lichamelijk geweld door een levenspartner
D5_22.02.02.05,Seksueel geweld door een levenspartner
D5_22.02.02.06,Consult voor slachtoffer van seksueel geweld door een levenspartner
D5_22.02.02.07,Persoonlijke anamnese met seksueel geweld door een levenspartner (in het verleden)
D5_22.02.02.08,Consult voor pleger van seksueel geweld door een levenspartner
D5_22.02.02.09,Verwaarlozing door een levenspartner
D5_22.02.02.10,Consult voor slachtoffer van verwaarlozing door een levenspartner
D5_22.02.02.11,Persoonlijke anamnese met verwaarlozing door een levenspartner (in het verleden)
D5_22.02.02.12,Consult voor pleger van verwaarlozing door een levenspartner
D5_22.02.02.13,Psychische mishandeling door een levenspartner
D5_22.02.02.14,Consult voor slachtoffer van psychische mishandeling door een levenspartner
D5_22.02.02.15,Persoonlijke anamnese met psychische mishandeling door een levenspartner (in het verleden)
D5_22.02.02.16,Consult voor pleger van psychische mishandeling door een levenspartner
D5_22.02.02.17,Lichamelijke mishandeling van een volwassene door iemand die niet de levenspartner is
D5_22.02.02.18,Seksueel misbruik van een volwassene door iemand die niet de levenspartner is
D5_22.02.02.19,Psychische mishandeling van een volwassene door iemand die niet de levenspartner is
D5_22.02.02.20,Consult voor slachtoffer van mishandeling van een volwassene door iemand die niet de levenspartner is
D5_22.02.02.21,Consult voor pleger van mishandeling van een volwassene door iemand die niet de levenspartner is
D5_22.03,Problemen met onderwijs en arbeid
D5_22.03.01,Problemen met onderwijs
D5_22.03.01.01,Leer- of onderwijsprobleem
D5_22.03.01.02,Leer- of onderwijsprobleem (psychosociale en omgevingsproblemen)
D5_22.03.02,Problemen met arbeid
D5_22.03.02.01,Probleem verband houdend met actuele militaire uitzending
D5_22.03.02.02,Probleem verband houdend met actuele militaire uitzending (psychosociale en omgevingsproblemen)
D5_22.03.02.03,Ander probleem verband houdend met werk of werkeloosheid
D5_22.03.02.04,Ander probleem verband houdend met werk of werkeloosheid (psychosociale en omgevingsproblemen)
D5_22.04,Huisvestings- en economische problemen
D5_22.04.01,Huisvestingsproblemen
D5_22.04.01.01,Dakloosheid
D5_22.04.01.02,Inadequate behuizing
D5_22.04.01.03,"Onenigheid met buur, huurder of verhuurder"
D5_22.04.01.04,Problemen verband houdend met wonen in een instelling
D5_22.04.02,Economische problemen
D5_22.04.02.01,Ontbreken van adequaat voedsel of veilig drinkwater
D5_22.04.02.02,Extreme armoede
D5_22.04.02.03,Laag inkomen
D5_22.04.02.04,Ontoereikende sociale verzekering of welzijnsvoorzieningen
D5_22.04.02.05,Ongespecificeerde huisvestings- of economisch probleem
D5_22.05,Andere problemen verband houdend met de sociale omgeving
D5_22.05.01,Levensfaseprobleem
D5_22.05.02,Probleem verband houdend met alleen wonen
D5_22.05.03,Acculturatieprobleem
D5_22.05.04,Sociale uitsluiting of uitstoting
D5_22.05.05,Doelwit van (vermeende) discriminatie of vervolging
D5_22.05.06,Ongespecificeerd probleemverband houdend met de sociale omgeving
D5_22.06,Andere problemen die verband houden met misdaad of aanraking met justitie
D5_22.06.01,Slachtoffer van misdaad
D5_22.06.02,Problemen verband houdend met justiti�le maatregelen
D5_22.07,Ander consult voor voorlichting en medisch advies
D5_22.07.01,Seksuele voorlichting en advies
D5_22.07.02,Andere voorlichting of advies
D5_22.08,"Problemen die verband houden met andere psychosociale, persoonlijke en omgevingsomstandigheden"
D5_22.08.01,Religieus of spiritueel probleem
D5_22.08.02,Problemen verband houdend met ongewenste zwangerschap
D5_22.08.03,Problemen verband houdend met multipariteit
D5_22.08.04,"Onenigheid met medewerker van sociale voorziening of reclassering, casemanager of maatschappelijk werkende"
D5_22.08.05,Slachtoffer van terrorisme of marteling
D5_22.08.06,"Blootstelling aan ramp, oorlog of andere vijandigheden"
D5_22.08.07,Andere problemen verband houdend met psychosociale omstandigheden
D5_22.08.08,Ongespecificeerd probleem verband houdend met niet gespecificeerde psychosociale omstandigheden
D5_22.09,Andere omstandigheden in de persoonlijke voorgeschiedenis
D5_22.09.01,Andere voorgeschiedenis van psychotrauma
D5_22.09.02,Voorgeschiedenis van zelfbeschadiging
D5_22.09.03,Voorgeschiedenis van militaire uitzending
D5_22.09.04,Andere persoonlijke risicofactoren
D5_22.09.05,Probleem verband houdend met levensstijl
D5_22.09.06,Antisociaal gedrag van volwassene
D5_22.09.07,Antisociaal gedrag van kind of adolescent
D5_22.10,Problemen verband houdend met de toegankelijkheid van medische en andere vormen van zorg
D5_22.10.01,Gezondheidsvoorzieningen niet beschikbaar of niet toegankelijk
D5_22.10.02,Andere hulpverlenende instanties niet beschikbaar of niet toegankelijk
D5_22.11,Niet opvolgen van medische behandeling
D5_22.11.01,Niet opvolgen van medische behandeling
D5_22.11.02,Overgewicht of obesitas
D5_22.11.03,Simuleren
D5_22.11.04,Rondzwerven samenhangend met een psychische stoornis
D5_22.11.05,Zwakbegaafdheid
D5_3,Bipolaire-stemmingsstoornissen
D5_3.01,Bipolaire-I-stoornis
D5_3.01.01,Bipolaire-I-stoornis: actuele of meest recente episode manisch
D5_3.01.01.01,Bipolaire-I-stoornis: actuele of meest recente episode manisch - licht
D5_3.01.01.02,Bipolaire-I-stoornis: actuele of meest recente episode manisch - matig
D5_3.01.01.03,Bipolaire-I-stoornis: actuele of meest recente episode manisch - ernstig
D5_3.01.01.04,Bipolaire-I-stoornis: actuele of meest recente episode manisch - met psychotische kenmerken
D5_3.01.01.05,Bipolaire-I-stoornis: actuele of meest recente episode manisch - Gedeeltelijk in remissie
D5_3.01.01.06,Bipolaire-I-stoornis: actuele of meest recente episode manisch - Volledig in remissie
D5_3.01.01.07,Bipolaire-I-stoornis: actuele of meest recente episode manisch - Ongespecificeerd
D5_3.01.02,Bipolaire-I-stoornis: actuele of meest recente episode hypomanisch
D5_3.01.02.01,Bipolaire-I-stoornis: actuele of meest recente episode hypomanisch - Gedeeltelijk in remissie
D5_3.01.02.02,Bipolaire-I-stoornis: actuele of meest recente episode hypomanisch - Volledig in remissie
D5_3.01.02.03,Bipolaire-I-stoornis: actuele of meest recente episode hypomanisch - Ongespecificeerd
D5_3.01.03,Bipolaire-I-stoornis: actuele of meest recente episode depressief
D5_3.01.03.01,Bipolaire-I-stoornis: actuele of meest recente episode depressief - licht
D5_3.01.03.02,Bipolaire-I-stoornis: actuele of meest recente episode depressief - matig
D5_3.01.03.03,Bipolaire-I-stoornis: actuele of meest recente episode depressief - ernstig
D5_3.01.03.04,Bipolaire-I-stoornis: actuele of meest recente episode depressief - Met psychotische kenmerken
D5_3.01.03.05,Bipolaire-I-stoornis: actuele of meest recente episode depressief - Gedeeltelijk in remissie
D5_3.01.03.06,Bipolaire-I-stoornis: actuele of meest recente episode depressief - Volledig in remissie
D5_3.01.03.07,Bipolaire-I-stoornis: actuele of meest recente episode depressief - Ongespecificeerd
D5_3.01.03.08,Bipolaire-I-stoornis: actuele of meest recente episode Ongespecificeerd
D5_3.02,Bipolaire II stoornis
D5_3.02.01,Bipolaire II stoornis: hypomanisch
D5_3.02.02,Bipolaire II stoornis: depressief
D5_3.03,Cyclothyme stoornis
D5_3.04,Bipolaire-stemmingsstoornis door een middel
D5_3.04.01,Bipolaire-stemmingsstoornis door alcohol
D5_3.04.01.01,Bipolaire-stemmingsstoornis door alcohol: met begin tijdens intoxicatie
D5_3.04.01.02,Bipolaire-stemmingsstoornis door alcohol: met begin tijdens onttrekking
D5_3.04.02,Bipolaire-stemmingsstoornis door fencyclidine
D5_3.04.02.01,Bipolaire-stemmingsstoornis door fencyclidine: met begin tijdens intoxicatie
D5_3.04.03,Bipolaire-stemmingsstoornis door andere hallucinogenen
D5_3.04.03.01,Bipolaire-stemmingsstoornis door andere hallucinogenen: met begin tijdens intoxicatie
D5_3.04.04,Bipolaire-stemmingsstoornis door hypnotica of anxiolytica
D5_3.04.04.01,Bipolaire-stemmingsstoornis door hypnotica of anxiolytica: met begin tijdens intoxicatie
D5_3.04.04.02,Bipolaire-stemmingsstoornis door hypnotica of anxiolytica: met begin tijdens onttrekking
D5_3.04.05,Bipolaire-stemmingsstoornis door amfetamine (of andere stimulantia)
D5_3.04.05.01,Bipolaire-stemmingsstoornis door amfetamine (of andere stimulantia): met begin tijdens intoxicatie
D5_3.04.05.02,Bipolaire-stemmingsstoornis door amfetamine (of andere stimulantia): met begin tijdens onttrekking
D5_3.04.06,Bipolaire-stemmingsstoornis door coca�ne
D5_3.04.06.01,Bipolaire-stemmingsstoornis door coca�ne: met begin tijdens intoxicatie
D5_3.04.06.02,Bipolaire-stemmingsstoornis door coca�ne: met begin tijdens onttrekking
D5_3.04.07,Bipolaire-stemmingsstoornis door een ander (of onbekend middel)
D5_3.04.07.01,Bipolaire-stemmingsstoornis door een ander (of onbekend middel): met begin tijdens intoxicatie
D5_3.04.07.02,Bipolaire-stemmingsstoornis door een ander (of onbekend middel): met begin tijdens onttrekking
D5_3.05,Bipolaire-stemminsstoornis door een somatische aandoening
D5_3.05.01,Bipolaire-stemminsstoornis door een somatische aandoening: met manische kenmerken
D5_3.05.02,Bipolaire-stemminsstoornis door een somatische aandoening: met maniforme of hypomaniforme episode
D5_3.05.03,Bipolaire-stemminsstoornis door een somatische aandoening: met gemengde kenmerken
D5_3.06,Andere bipolaire stemmingsstoornissen
D5_3.06.01,Andere gespecificeerde bipolaire-stemmingsstoornis
D5_3.06.02,Ongespecificeerde bipolaire-stemmingsstoornis
D5_4,Depressieve-stemmingsstoornissen
D5_4.01,Disruptieve stemmingsdisregulatiestoornis
D5_4.02,Depressieve stoornis
D5_4.02.01,Depressieve stoornis: eenmalige episode
D5_4.02.01.01,Depressieve stoornis: eenmalige episode - licht
D5_4.02.01.02,Depressieve stoornis: eenmalige episode - matig
D5_4.02.01.03,Depressieve stoornis: eenmalige episode - ernstig
D5_4.02.01.04,Depressieve stoornis: eenmalige episode - Met psychotische kenmerken
D5_4.02.01.05,Depressieve stoornis: eenmalige episode - Gedeeltelijk in remissie
D5_4.02.01.06,Depressieve stoornis: eenmalige episode - Volledig in remissie
D5_4.02.01.07,Depressieve stoornis: eenmalige episode - Ongespecificeerd
D5_4.02.02,Depressieve stoornis: recidiverende episode
D5_4.02.02.01,Depressieve stoornis: recidiverende episode - licht
D5_4.02.02.02,Depressieve stoornis: recidiverende episode - matig
D5_4.02.02.03,Depressieve stoornis: recidiverende episode - ernstig
D5_4.02.02.04,Depressieve stoornis: recidiverende episode - Met psychotische kenmerken
D5_4.02.02.05,Depressieve stoornis: recidiverende episode - Gedeeltelijk in remissie
D5_4.02.02.06,Depressieve stoornis: recidiverende episode - Volledig in remissie
D5_4.02.02.07,Depressieve stoornis: recidiverende episode - Ongespecificeerd
D5_4.03,Persisterende depressieve stoornis (dysthymie)
D5_4.03.01,Persisterende depressieve stoornis (dysthymie): vroeg begin
D5_4.03.02,Persisterende depressieve stoornis (dysthymie): laat begin
D5_4.03.03,Persisterende depressieve stoornis (dysthymie): met atypische kenmerken
D5_4.04,Premenstruele stemmingsstoornis
D5_4.05,Depressieve stemmingsstoornis door een middel
D5_4.05.01,Depressieve-stemmingsstoornis door alcohol
D5_4.05.01.01,Depressieve-stemmingsstoornis door alcohol: met begin tijdens intoxicatie
D5_4.05.01.02,Depressieve-stemmingsstoornis door alcohol: met begin tijdens onttrekking
D5_4.05.02,Depressieve-stemmingsstoornis door fencyclidine
D5_4.05.02.01,Depressieve-stemmingsstoornis door fencyclidine: met begin tijdens intoxicatie
D5_4.05.03,Depressieve-stemmingsstoornis door andere hallucinogenen
D5_4.05.03.01,Depressieve-stemmingsstoornis door andere hallucinogenen: met begin tijdens intoxicatie
D5_4.05.04,Depressieve-stemmingsstoornis door hypnotica of anxiolytica
D5_4.05.04.01,Depressieve-stemmingsstoornis door hypnotica of anxiolytica: met begin tijdens intoxicatie
D5_4.05.04.02,Depressieve-stemmingsstoornis door hypnotica of anxiolytica: met begin tijdens onttrekking
D5_4.05.05,Depressieve-stemmingsstoornis door amfetamine (of andere stimulantia)
D5_4.05.05.01,Depressieve-stemmingsstoornis door amfetamine (of andere stimulantia): met begin tijdens intoxicatie
D5_4.05.05.02,Depressieve-stemmingsstoornis door amfetamine (of andere stimulantia): met begin tijdens onttrekking
D5_4.05.06,Depressieve-stemmingsstoornis door coca�ne
D5_4.05.06.01,Depressieve-stemmingsstoornis door coca�ne: met begin tijdens intoxicatie
D5_4.05.06.02,Depressieve-stemmingsstoornis door coca�ne: met begin tijdens onttrekking
D5_4.05.07,Depressieve-stemmingsstoornis door een ander (of onbekend middel)
D5_4.05.07.01,Depressieve-stemmingsstoornis door een ander (of onbekend middel): met begin tijdens intoxicatie
D5_4.05.07.02,Depressieve-stemmingsstoornis door een ander (of onbekend middel): met begin tijdens onttrekking
D5_4.06,Depressieve-stemmingsstoornis door een somatische aandoening
D5_4.06.01,Depressieve-stemmingsstoornis door een somatische aandoening: met depressieve kenmerken
D5_4.06.02,Depressieve-stemmingsstoornis door een somatische aandoening: met depressieve episode
D5_4.06.03,Depressieve-stemmingsstoornis door een somatische aandoening: met gemengde kenmerken
D5_4.07,Andere depressieve stemmingsstoornissen
D5_4.07.01,Andere gespecificeerde depressieve-stemmingsstoornis
D5_4.07.02,Ongespecificeerde depressieve-stemmingsstoornis
D5_5,Angststoornissen
D5_5.01,Specifieke fobie
D5_5.01.01,Specifieke fobie: dier
D5_5.01.02,Specifieke fobie: natuurlijke omgeving
D5_5.01.03,Specifieke fobie: bloed-injecties-verwonding
D5_5.01.04,Specifieke fobie: situationeel
D5_5.01.05,Specifieke fobie: overige
D5_5.02,Sociale angststoornis (sociale fobie)
D5_5.03,Paniekstoornis
D5_5.04,Agorafobie
D5_5.05,Gegeneraliseerde-angststoornis
D5_5.06,Angststoornis door een middel
D5_5.06.01,Angststoornis door alcohol
D5_5.06.01.01,Angststoornis door alcohol: met begin tijdens intoxicatie
D5_5.06.01.02,Angststoornis door alcohol: met begin tijdens onttrekking
D5_5.06.02,Angststoornis door cafe�ne
D5_5.06.02.01,Angststoornis door cafe�ne: met begin tijdens intoxicatie
D5_5.06.03,Angststoornis door cannabis
D5_5.06.03.01,Angststoornis door cannabis: met begin tijdens intoxicatie
D5_5.06.04,Angststoornis door fencyclidine
D5_5.06.04.01,Angststoornis door fencyclidine: met begin tijdens intoxicatie
D5_5.06.05,Angststoornis door andere hallucinogenen
D5_5.06.05.01,Angststoornis door andere hallucinogenen: met begin tijdens intoxicatie
D5_5.06.06,Angststoornis door inhalantia
D5_5.06.06.01,Angststoornis door inhalantia: met begin tijdens intoxicatie
D5_5.06.07,Angststoornis door opio�den
D5_5.06.07.01,Angststoornis door opio�den: met begin tijdens intoxicatie
D5_5.06.07.02,Angststoornis door opio�den: met begin tijdens onttrekking
D5_5.06.08,Angststoornis door hypnotica of anxiolytica
D5_5.06.08.01,Angststoornis door hypnotica of anxiolytica: met begin tijdens onttrekking
D5_5.06.09,Angststoornis door amfetamine (of andere stimulantia)
D5_5.06.09.01,Angststoornis door amfetamine (of andere stimulantia): met begin tijdens intoxicatie
D5_5.06.09.02,Angststoornis door amfetamine (of andere stimulantia): met begin tijdens onttrekking
D5_5.06.10,Angststoornis door coca�ne
D5_5.06.10.01,Angststoornis door coca�ne: met begin tijdens intoxicatie
D5_5.06.10.02,Angststoornis door coca�ne: met begin tijdens onttrekking
D5_5.06.11,Angststoornis door een ander (of onbekend) middel
D5_5.06.11.01,Angststoornis door een ander (of onbekend) middel: met begin tijdens intoxicatie
D5_5.06.11.02,Angststoornis door een ander (of onbekend) middel: met begin tijdens onttrekking
D5_5.07,Angststoornis door een somatische aandoening
D5_5.08,Andere angststoornissen
D5_5.08.01,Andere gespecificeerde angststoornis
D5_5.08.02,Ongespecificeerde angststoornis
D5_5.09,Angststoornissen
D5_5.09.01,Separatieangststoornis
D5_5.09.02,Selectief mutisme
D5_6,Obsessieve-compulsieve en verwante stoornissen
D5_6.01,Obsessieve-compulsieve stoornis
D5_6.01.01,Obsessieve-compulsieve stoornis: met gering realiteitsbesef
D5_6.02,Verzamelstoornis
D5_6.02.01,Verzamelstoornis: met excessief verwerven en/of Gering of ontbrekend realiteitsbesef
D5_6.03,Morfodysfore stoornis
D5_6.04,Trichotillomanie (haaruittrekstoornis)
D5_6.05,Excoriatiestoornis (huidpulkstoornis)
D5_6.05.01,Excoriatiestoornis (huidpulkstoornis): ernstige lichamelijke complicaties
D5_6.06,Obsessieve-compulsieve of verwante stoornis door een middel
D5_6.06.01,Obsessieve-compulsieve of verwante stoornis door amfetamine (of andere stimulantia)
D5_6.06.01.01,Obsessieve-compulsieve of verwante stoornis door amfetamine (of andere stimulantia): met begin tijdens intoxicatie
D5_6.06.01.02,Obsessieve-compulsieve of verwante stoornis door amfetamine (of andere stimulantia): met begin tijdens onttrekking
D5_6.06.02,Obsessieve-compulsieve of verwante stoornis door coca�ne
D5_6.06.02.01,Obsessieve-compulsieve of verwante stoornis door coca�ne: met begin tijdens intoxicatie
D5_6.06.02.02,Obsessieve-compulsieve of verwante stoornis door coca�ne: met begin tijdens onttrekking
D5_6.06.03,Obsessieve-compulsieve of verwante stoornis door een ander (of onbekend) middel
D5_6.06.03.01,Obsessieve-compulsieve of verwante stoornis door een ander (of onbekend) middel: met begin tijdens intoxicatie
D5_6.06.03.02,Obsessieve-compulsieve of verwante stoornis door een ander (of onbekend) middel: met begin tijdens onttrekking
D5_6.07,Obsessieve-compulsieve of verwante stoornis door een somatische aandoening
D5_6.08,Andere obsessieve-compulsieve of verwante stoornissen
D5_6.08.01,Andere gespecificeerde obsessieve-compulsieve of verwante stoornis
D5_6.08.02,Ongespecificeerde obsessieve-compulsieve of verwante stoornis
D5_7,Trauma- en stressorgerelateerde stoornissen
D5_7.01,Posttraumatische-stressstoornis
